"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"1967429","2019-Oct-07 03:22 PM","Mondelez","","704620032700 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-10","Mondelez","704620032700 6Ct - 9Oz Sourpatch Big Kids Bag","","Finished Good","2019-Nov-26 02:42 PM","100.00%","2019-Nov-29 12:05 PM","2019-Nov-28 07:03 AM","1967429","","Closed","","","","L - 704620032700","Newcomerstown","7.00","384.00000","12532.64","12532.64","1.46000","8584.00000","cases","7560.00000","8584.00000","-1024.00000"
"1967422","2019-Oct-07 03:16 PM","Mondelez","","704620020700 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-09","Mondelez","704620020700 10Oz Sour Patch Strawberry Bag 12/Cs","","Finished Good","2019-Dec-09 05:30 PM","100.00%","2019-Dec-13 01:54 PM","2019-Nov-18 08:29 AM","1967422","","Closed","","","","L - 704620020700","Newcomerstown","6.00","192.00000","56550.65","56550.65","2.41000","23465.00000","cases","23440.00000","23465.00000","-25.00000"
"1967418","2019-Oct-07 03:15 PM","Mondelez","","704620020700 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-09","Mondelez","704620020700 10Oz Sour Patch Strawberry Bag 12/Cs","","Finished Good","2019-Oct-25 02:52 PM","100.00%","2019-Nov-22 10:56 AM","2019-Oct-24 03:41 PM","1967418","","Closed","","","","L - 704620020700","Newcomerstown","6.00","192.00000","14570.86","14570.86","2.41000","6046.00000","cases","6320.00000","6046.00000","274.00000"
"1967417","2019-Oct-07 03:13 PM","Mondelez","","704620019600 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-08","Mondelez","704620019600 10Oz Swedish Fish Bag 12/Cs","","Finished Good","2019-Dec-23 10:00 PM","100.00%","2019-Dec-25 02:39 PM","2019-Dec-10 02:26 PM","1967417","","Closed","","","","L - 704620019600","Newcomerstown","6.00","192.00000","52135.53","52135.53","2.41000","21633.00000","cases","23640.00000","21633.00000","2007.00000"
"1967414","2019-Oct-07 03:12 PM","Mondelez","","704620019600 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-08","Mondelez","704620019600 10Oz Swedish Fish Bag 12/Cs","","Finished Good","2019-Nov-15 09:18 PM","100.00%","2019-Nov-18 08:29 AM","2019-Nov-13 04:10 PM","1967414","","Closed","","","","L - 704620019600","Newcomerstown","6.00","192.00000","15093.83","15093.83","2.41000","6263.00000","cases","7280.00000","6263.00000","1017.00000"
"1967412","2019-Oct-07 03:09 PM","Mondelez","","704620019600 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-08","Mondelez","704620019600 10Oz Swedish Fish Bag 12/Cs","","Finished Good","2019-Oct-27 12:00 AM","100.00%","2019-Oct-31 02:21 PM","2019-Oct-24 10:45 AM","1967412","","Closed","","","","L - 704620019600","Newcomerstown","6.00","192.00000","7010.69","7010.69","2.41000","2909.00000","cases","12640.00000","2909.00000","9731.00000"
"1967386","2019-Oct-07 02:49 PM","Mondelez","","704620013300 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-07","Mondelez","704620013300 9Oz Sourpatch Big Kids Bag 12/Cs","","Finished Good","2019-Dec-09 03:32 PM","100.00%","2019-Dec-09 03:17 PM","2019-Nov-20 09:05 PM","1967386","","Closed","","","","L - 704620013300","Newcomerstown","6.00","192.00000","51270.34","51270.34","2.41000","21274.00000","cases","21229.00000","21274.00000","-45.00000"
"1967382","2019-Oct-07 02:47 PM","Mondelez","","704620013300 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-07","Mondelez","704620013300 9Oz Sourpatch Big Kids Bag 12/Cs","","Finished Good","2019-Nov-18 11:51 PM","100.00%","2019-Nov-18 09:05 PM","2019-Nov-06 09:20 AM","1967382","","Closed","","","","L - 704620013300","Newcomerstown","6.00","192.00000","67316.12","67316.12","2.41000","27932.00000","cases","26584.00000","27932.00000","-1348.00000"
"1967378","2019-Oct-07 02:45 PM","Mondelez","","704620013300 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-07","Mondelez","704620013300 9Oz Sourpatch Big Kids Bag 12/Cs","","Finished Good","2019-Oct-28 03:32 PM","100.00%","2019-Nov-06 09:20 AM","2019-Oct-22 07:44 AM","1967378","","Closed","","","","L - 704620013300","Newcomerstown","6.00","192.00000","15291.45","15291.45","2.41000","6345.00000","cases","26584.00000","6345.00000","20239.00000"
"1966173","2019-Oct-07 08:28 AM","Mondelez","","704620013300 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-07","Mondelez","704620013300 9Oz Sourpatch Big Kids Bag 12/Cs","","Finished Good","2019-Oct-15 03:37 PM","100.00%","2019-Oct-14 09:24 AM","2019-Oct-08 12:20 PM","1966173","","Closed","","","","L - 704620013300","Newcomerstown","6.00","192.00000","25541.18","25541.18","2.41000","10598.00000","cases","11000.00000","10598.00000","402.00000"
